"Country or Area","Year","Item","Value"
"Afghanistan","2019","Gross National Income (GNI)","477.322693857586"
"Albania","2019","Gross National Income (GNI)","5248.88354840841"
"Algeria","2019","Gross National Income (GNI)","3916.88078836434"
"Andorra","2019","Gross National Income (GNI)","40887.4216465747"
"Angola","2019","Gross National Income (GNI)","2516.31244346382"
"Anguilla","2019","Gross National Income (GNI)","25528.573567178"
"Antigua and Barbuda","2019","Gross National Income (GNI)","16804.761805608"
"Argentina","2019","Gross National Income (GNI)","9680.21758653526"
"Armenia","2019","Gross National Income (GNI)","4786.09679252307"
"Aruba","2019","Gross National Income (GNI)","29245.0879144451"
"Australia","2019","Gross National Income (GNI)","53620.4071955298"
"Austria","2019","Gross National Income (GNI)","49948.6311675367"
"Azerbaijan","2019","Gross National Income (GNI)","4579.57303404321"
"Bahamas","2019","Gross National Income (GNI)","32918.7580581388"
"Bahrain","2019","Gross National Income (GNI)","22211.3538681698"
"Bangladesh","2019","Gross National Income (GNI)","1928.92252284957"
"Barbados","2019","Gross National Income (GNI)","17525.5550265656"
"Belarus","2019","Gross National Income (GNI)","6467.21678852653"
"Belgium","2019","Gross National Income (GNI)","46773.8255181774"
"Belize","2019","Gross National Income (GNI)","4373.13108007368"
"Benin","2019","Gross National Income (GNI)","1208.32456949757"
"Bermuda","2019","Gross National Income (GNI)","118406.555866637"
"Bhutan","2019","Gross National Income (GNI)","3111.71777333952"
"Bolivia (Plurinational State of)","2019","Gross National Income (GNI)","3468.24056281399"
"Bosnia and Herzegovina","2019","Gross National Income (GNI)","6098.8385705181"
"Botswana","2019","Gross National Income (GNI)","7412.32633698644"
"Brazil","2019","Gross National Income (GNI)","8523.08495775138"
"British Virgin Islands","2019","Gross National Income (GNI)","39413.8674325674"
"Brunei Darussalam","2019","Gross National Income (GNI)","30789.6648734516"
"Bulgaria","2019","Gross National Income (GNI)","9793.55672634773"
"Burkina Faso","2019","Gross National Income (GNI)","781.59806628144"
"Burundi","2019","Gross National Income (GNI)","260.81966159432"
"Cabo Verde","2019","Gross National Income (GNI)","3526.69932574325"
"Cambodia","2019","Gross National Income (GNI)","1532.83168547873"
"Cameroon","2019","Gross National Income (GNI)","1472.51301670808"
"Canada","2019","Gross National Income (GNI)","45934.9725593179"
"Cayman Islands","2019","Gross National Income (GNI)","83964.8421289996"
"Central African Republic","2019","Gross National Income (GNI)","482.962023566507"
"Chad","2019","Gross National Income (GNI)","695.959299541802"
"Chile","2019","Gross National Income (GNI)","14297.8167475624"
"China, Hong Kong SAR","2019","Gross National Income (GNI)","51722.93507114"
"China, Macao Special Administrative Region","2019","Gross National Income (GNI)","76787.9973336312"
"China, People's Republic of","2019","Gross National Income (GNI)","9979.96924381979"
"Colombia","2019","Gross National Income (GNI)","6269.60286256477"
"Comoros","2019","Gross National Income (GNI)","1378.07773601678"
"Congo","2019","Gross National Income (GNI)","2110.07584389792"
"Cook Islands","2019","Gross National Income (GNI)","21603.4643468052"
"Costa Rica","2019","Gross National Income (GNI)","11527.5161948916"
"Côte d'Ivoire","2019","Gross National Income (GNI)","2206.00440177382"
"Croatia","2019","Gross National Income (GNI)","14561.019836445"
"Cuba","2019","Gross National Income (GNI)","9169.3499498786"
"Curaçao","2019","Gross National Income (GNI)","19789.4936624394"
"Cyprus","2019","Gross National Income (GNI)","27281.5854435836"
"Czechia","2019","Gross National Income (GNI)","22010.0499163821"
"Democratic People's Republic of Korea","2019","Gross National Income (GNI)","641.732252197238"
"Democratic Republic of the Congo","2019","Gross National Income (GNI)","535.395033023649"
"Denmark","2019","Gross National Income (GNI)","62448.7682312536"
"Djibouti","2019","Gross National Income (GNI)","3382.40369484058"
"Dominica","2019","Gross National Income (GNI)","8172.20961143296"
"Dominican Republic","2019","Gross National Income (GNI)","7909.91084959074"
"Ecuador","2019","Gross National Income (GNI)","6013.84830699481"
"Egypt","2019","Gross National Income (GNI)","3114.00544026892"
"El Salvador","2019","Gross National Income (GNI)","3984.85764353373"
"Equatorial Guinea","2019","Gross National Income (GNI)","7093.80999491371"
"Eritrea","2019","Gross National Income (GNI)","560.249671528652"
"Estonia","2019","Gross National Income (GNI)","23203.1481123288"
"Ethiopia","2019","Gross National Income (GNI)","823.522235041276"
"Fiji","2019","Gross National Income (GNI)","5782.28266114259"
"Finland","2019","Gross National Income (GNI)","48913.7072481856"
"France","2019","Gross National Income (GNI)","41154.5450743982"
"French Polynesia","2019","Gross National Income (GNI)","21566.946148538"
"Gabon","2019","Gross National Income (GNI)","7262.7495534783"
"Gambia","2019","Gross National Income (GNI)","763.2383036656"
"Georgia","2019","Gross National Income (GNI)","4263.41695365193"
"Germany","2019","Gross National Income (GNI)","47488.4431540233"
"Ghana","2019","Gross National Income (GNI)","2154.74065387839"
"Greece","2019","Gross National Income (GNI)","19443.9173002987"
"Greenland","2019","Gross National Income (GNI)","51913.5015572664"
"Grenada","2019","Gross National Income (GNI)","9821.44156522263"
"Guatemala","2019","Gross National Income (GNI)","4290.6192448095"
"Guinea","2019","Gross National Income (GNI)","958.596171022216"
"Guinea-Bissau","2019","Gross National Income (GNI)","738.128211432747"
