"Rank","name","pop2021","pop2020","GrowthRate","area","Density"
"1","China","1444216.1070","1439323.7760","1.0034","9706961","148.7815"
"2","India","1393409.0380","1380004.3850","1.0097","3287590","423.8391"
"3","United States","332915.0730","331002.6510","1.0058","9372610","35.5200"
"4","Indonesia","276361.7830","273523.6150","1.0104","1904569","145.1046"
"5","Pakistan","225199.9370","220892.3400","1.0195","881912","255.3542"
"6","Brazil","213993.4370","212559.4170","1.0067","8515767","25.1291"
"7","Nigeria","211400.7080","206139.5890","1.0255","923768","228.8461"
"8","Bangladesh","166303.4980","164689.3830","1.0098","147570","1126.9465"
"9","Russia","145912.0250","145934.4620","0.9998","17098242","8.5337"
"10","Mexico","130262.2160","128932.7530","1.0103","1964375","66.3123"
"11","Japan","126050.8040","126476.4610","0.9966","377930","333.5295"
"12","Ethiopia","117876.2270","114963.5880","1.0253","1104300","106.7429"
"13","Philippines","111046.9130","109581.0780","1.0134","342353","324.3638"
"14","Egypt","104258.3270","102334.4040","1.0188","1002450","104.0035"
"15","Vietnam","98168.8330","97338.5790","1.0085","331212","296.3927"
"16","DR Congo","92377.9930","89561.4030","1.0314","2344858","39.3960"
"17","Turkey","85042.7380","84339.0670","1.0083","783562","108.5335"
"18","Iran","85028.7590","83992.9490","1.0123","1648195","51.5890"
"19","Germany","83900.4730","83783.9420","1.0014","357114","234.9403"
"20","Thailand","69950.8500","69799.9780","1.0022","513120","136.3245"
"21","United Kingdom","68207.1160","67886.0110","1.0047","242900","280.8033"
"22","France","65426.1790","65273.5110","1.0023","551695","118.5912"
"23","Tanzania","61498.4370","59734.2180","1.0295","945087","65.0717"
"24","Italy","60367.4770","60461.8260","0.9984","301336","200.3328"
"25","South Africa","60041.9940","59308.6900","1.0124","1221037","49.1730"
"26","Kenya","54985.6980","53771.2960","1.0226","580367","94.7430"
"27","Myanmar","54806.0120","54409.8000","1.0073","676578","81.0047"
"28","South Korea","51305.1860","51269.1850","1.0007","100210","511.9767"
"29","Colombia","51265.8440","50882.8910","1.0075","1141748","44.9012"
"30","Uganda","47123.5310","45741.0070","1.0302","241550","195.0881"
"31","Spain","46745.2160","46754.7780","0.9998","505992","92.3833"
"32","Argentina","45605.8260","45195.7740","1.0091","2780400","16.4026"
"33","Sudan","44909.3530","43849.2600","1.0242","1886068","23.8111"
"34","Algeria","44616.6240","43851.0440","1.0175","2381741","18.7328"
"35","Ukraine","43466.8190","43733.7620","0.9939","603500","72.0246"
"36","Iraq","41179.3500","40222.4930","1.0238","438317","93.9488"
"37","Afghanistan","39835.4280","38928.3460","1.0233","652230","61.0757"
"38","Canada","38067.9030","37742.1540","1.0086","9984670","3.8126"
"39","Poland","37797.0050","37846.6110","0.9987","312679","120.8812"
"40","Morocco","37344.7950","36910.5600","1.0118","446550","83.6296"
"41","Saudi Arabia","35340.6830","34813.8710","1.0151","2149690","16.4399"
"42","Uzbekistan","33935.7630","33469.2030","1.0139","447400","75.8511"
